[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'pHYs' 4126 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'tIME' 4147 7
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'tIME' 4147 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 4166 8192
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'zTXt' 41 195
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'iCCP' 248 388
[DEBUG | PngImagePlugin | L394] 2025-04-01 20:28:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-01 20:28:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'iTXt' 648 3448
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'bKGD' 4108 6
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'bKGD' 4108 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'pHYs' 4126 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'tIME' 4147 7
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'tIME' 4147 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 4166 8192
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 41 32768
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 41 32768
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'iCCP' 41 388
[DEBUG | PngImagePlugin | L394] 2025-04-01 20:28:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-01 20:28:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'bKGD' 441 6
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'bKGD' 441 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'pHYs' 459 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'tIME' 480 7
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'tIME' 480 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'tEXt' 499 25
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 536 8192
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'iCCP' 41 388
[DEBUG | PngImagePlugin | L394] 2025-04-01 20:28:05 +0800: iCCP profile name b'ICC profile'
[DEBUG | PngImagePlugin | L395] 2025-04-01 20:28:05 +0800: Compression method 0
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'bKGD' 441 6
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'bKGD' 441 6 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'pHYs' 459 9
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'tIME' 480 7
[DEBUG | PngImagePlugin | L728] 2025-04-01 20:28:05 +0800: b'tIME' 480 7 (unknown)
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'tEXt' 499 25
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IDAT' 536 8192
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'IHDR' 16 13
[DEBUG | PngImagePlugin | L191] 2025-04-01 20:28:05 +0800: STREAM b'zTXt' 41 9328
